https://help.appdirect.com/develop/Default.htm#AppBilling/bag-cs-supp-resp-attrib.html%3FTocPath%3DREST%2520API%7CBilling%2520and%2520subscription%2520management%7CCreate%2520subscriptions%7C_____4,Dynamic,html2/bag-cs-supp-resp-attrib.html%3FTocPath%3DREST%2520API%7CBilling%2520and%2520subscription%2520management%7CCreate%2520subscriptions%7C_____4.html
https://help.appdirect.com/develop/Default.htm#AppBilling/bag-cs-pp-disc.html%3FTocPath%3DREST%2520API%7CBilling%2520and%2520subscription%2520management%7CCreate%2520subscriptions%7C_____5,Dynamic,html2/bag-cs-pp-disc.html%3FTocPath%3DREST%2520API%7CBilling%2520and%2520subscription%2520management%7CCreate%2520subscriptions%7C_____5.html
https://help.appdirect.com/develop/Default.htm#AppBilling/bag-cs-add-sc-exs.html%3FTocPath%3DREST%2520API%7CBilling%2520and%2520subscription%2520management%7CCreate%2520subscriptions%7C_____6,Dynamic,html2/bag-cs-add-sc-exs.html%3FTocPath%3DREST%2520API%7CBilling%2520and%2520subscription%2520management%7CCreate%2520subscriptions%7C_____6.html
https://help.appdirect.com/develop/Default.htm#AppBilling/bag-cs-add-sc-api-meth.html%3FTocPath%3DREST%2520API%7CBilling%2520and%2520subscription%2520management%7CCreate%2520subscriptions%7C_____7,Dynamic,html2/bag-cs-add-sc-api-meth.html%3FTocPath%3DREST%2520API%7CBilling%2520and%2520subscription%2520management%7CCreate%2520subscriptions%7C_____7.html
https://help.appdirect.com/develop/Default.htm#AppBilling/bag-chgs-overview.html%3FTocPath%3DREST%2520API%7CBilling%2520and%2520subscription%2520management%7CChange%2520subscriptions%7C_____0,Dynamic,html2/bag-chgs-overview.html%3FTocPath%3DREST%2520API%7CBilling%2520and%2520subscription%2520management%7CChange%2520subscriptions%7C_____0.html
https://help.appdirect.com/develop/Default.htm#AppBilling/bag-chgs-user-cases.html%3FTocPath%3DREST%2520API%7CBilling%2520and%2520subscription%2520management%7CChange%2520subscriptions%7C_____1,Dynamic,html2/bag-chgs-user-cases.html%3FTocPath%3DREST%2520API%7CBilling%2520and%2520subscription%2520management%7CChange%2520subscriptions%7C_____1.html
https://help.appdirect.com/develop/Default.htm#AppBilling/bag-chgs-chang-a-subs.html%3FTocPath%3DREST%2520API%7CBilling%2520and%2520subscription%2520management%7CChange%2520subscriptions%7C_____2,Dynamic,html2/bag-chgs-chang-a-subs.html%3FTocPath%3DREST%2520API%7CBilling%2520and%2520subscription%2520management%7CChange%2520subscriptions%7C_____2.html
https://help.appdirect.com/develop/Default.htm#AppBilling/bag-chgs-supp-req-attrib.html%3FTocPath%3DREST%2520API%7CBilling%2520and%2520subscription%2520management%7CChange%2520subscriptions%7C_____3,Dynamic,html2/bag-chgs-supp-req-attrib.html%3FTocPath%3DREST%2520API%7CBilling%2520and%2520subscription%2520management%7CChange%2520subscriptions%7C_____3.html
https://help.appdirect.com/develop/Default.htm#AppBilling/bag-chgs-supp-resp-attrib.html%3FTocPath%3DREST%2520API%7CBilling%2520and%2520subscription%2520management%7CChange%2520subscriptions%7C_____4,Dynamic,html2/bag-chgs-supp-resp-attrib.html%3FTocPath%3DREST%2520API%7CBilling%2520and%2520subscription%2520management%7CChange%2520subscriptions%7C_____4.html
https://help.appdirect.com/develop/Default.htm#AppBilling/bag-chgs-pp-disc.html%3FTocPath%3DREST%2520API%7CBilling%2520and%2520subscription%2520management%7CChange%2520subscriptions%7C_____5,Dynamic,html2/bag-chgs-pp-disc.html%3FTocPath%3DREST%2520API%7CBilling%2520and%2520subscription%2520management%7CChange%2520subscriptions%7C_____5.html
